id,locationid,applicant,Facilitytype,facilitytype,cnn,full_address,address,permit,Status,status,latitude,longitude,schedule,approved,Received,expiration
148,1181852,Anas Goodies Catering,Truck,1,8717000,MARIPOSA ST: PENNSYLVANIA AVE to MISSISSIPPI ST (1000 - 1099),1040 MARIPOSA ST,18MFF-0048,APPROVED,2,37.7642023783019,-122.39428524234,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0048&ExportPDF=1&Filename=18MFF-0048_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
149,1178066,Creme Brulee To Go,Push Cart,2,8747102,MARKET ST: 04TH ST \ ELLIS ST \ STOCKTON ST to POWELL ST (801 - 863) -- SOUTH --,801 MARKET ST,18MFF-0037,APPROVED,2,37.7849902793065,-122.405676629072,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0037&ExportPDF=1&Filename=18MFF-0037_schedule.pdf,06/26/2018 12:00:00 AM,2018-06-26,07/15/2019 12:00:00 AM
150,1024769,Plaza Garibaldy,Truck,1,7033000,HOWARD ST: 01ST ST to MALDEN ALY (500 - 589),540 HOWARD ST,17MFF-0184,APPROVED,2,37.7879549596858,-122.397236543731,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0184&ExportPDF=1&Filename=17MFF-0184_schedule.pdf,08/20/2018 12:00:00 AM,2017-05-10,07/15/2019 12:00:00 AM
151,1183687,Paradise Catering,Truck,1,9100000,MISSION ST: 06TH ST to 07TH ST (1000 - 1099),1045 MISSION ST,18MFF-0052,APPROVED,2,37.7797445729388,-122.409648343061,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0052&ExportPDF=1&Filename=18MFF-0052_schedule.pdf,07/10/2018 12:00:00 AM,2018-07-10,07/15/2019 12:00:00 AM
152,963987,Singh Brothers Ice Cream,Truck,1,5599000,FITZGERALD AVE: HAWES ST to INGALLS ST (1100 - 1199),1104 FITZGERALD AVE,17MFF-0182,REQUESTED,1,37.7201747226493,-122.389407114342,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0182&ExportPDF=1&Filename=17MFF-0182_schedule.pdf,,2017-04-18,03/15/2018 12:00:00 AM
153,1191895,Mike's Catering,Truck,1,15024000,CHINA BASIN ST: TERRY A FRANCOIS BLVD to 03RD ST (300 - 499),Assessors Block 8720/Lot009,18MFF-0084,APPROVED,2,37.7721522432444,-122.387742984116,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0084&ExportPDF=1&Filename=18MFF-0084_schedule.pdf,07/24/2018 12:00:00 AM,2018-07-24,07/15/2019 12:00:00 AM
154,1219102,"Halal Cart, LLC",Push Cart,2,8737101,MARKET ST: STEUART ST to SPEAR ST (1 - 99) -- SOUTH --,1 MARKET ST,18MFF-0103,APPROVED,2,37.7938715071506,-122.394865238621,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0103&ExportPDF=1&Filename=18MFF-0103_schedule.pdf,09/12/2018 12:00:00 AM,2018-09-12,07/15/2019 12:00:00 AM
155,1184864,Subs on Hubs,Truck,1,3089000,BRANNAN ST: 08TH ST to 09TH ST (900 - 999),934 BRANNAN ST,18MFF-0059,APPROVED,2,37.7711790005481,-122.406573673429,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0059&ExportPDF=1&Filename=18MFF-0059_schedule.pdf,07/11/2018 12:00:00 AM,2018-07-11,07/15/2019 12:00:00 AM
156,1219753,"Kabob Trolley, LLC",Truck,1,9101000,MISSION ST: 07TH ST to ANGELOS ALY \ JULIA ST (1100 - 1165),1133 MISSION ST,18MFF-0106,REQUESTED,1,37.7783302557659,-122.411515865268,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0106&ExportPDF=1&Filename=18MFF-0106_schedule.pdf,,2018-09-13,07/15/2019 12:00:00 AM
157,1183682,Paradise Catering,Truck,1,11184000,RUSS ST: TULIP ALY to NATOMA ST (20 - 39),25 RUSS ST,18MFF-0052,APPROVED,2,37.7794637316225,-122.408867951023,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0052&ExportPDF=1&Filename=18MFF-0052_schedule.pdf,07/10/2018 12:00:00 AM,2018-07-10,07/15/2019 12:00:00 AM
158,1199782,Two G's Catering,Truck,1,7165000,ILLINOIS ST: 16TH ST to MARIPOSA ST \ TERRY A FRANCOIS BLVD (400 - 599),409 ILLINOIS ST,18MFF-0090,APPROVED,2,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0090&ExportPDF=1&Filename=18MFF-0090_schedule.pdf,08/06/2018 12:00:00 AM,2018-08-06,07/15/2019 12:00:00 AM
159,1189522,Linda's Catering,Truck,1,12662000,TOWNSEND ST: LUSK ST to 04TH ST (252 - 299),260 TOWNSEND ST,18MFF-0074,APPROVED,2,37.7781481274607,-122.394440688559,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0074&ExportPDF=1&Filename=18MFF-0074_schedule.pdf,07/13/2018 12:00:00 AM,2018-07-13,07/15/2019 12:00:00 AM
160,1140224,"Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's",Truck,1,5683000,FOLSOM ST: 11TH ST to NORFOLK ST (1500 - 1548),1501 FOLSOM ST,18MFF-0017,REQUESTED,1,37.7715867026703,-122.414007043024,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0017&ExportPDF=1&Filename=18MFF-0017_schedule.pdf,,2018-04-06,07/15/2019 12:00:00 AM
161,1183672,Paradise Catering,Truck,1,6116000,GEARY ST: HYDE ST to LARKIN ST (800 - 899),855 GEARY ST,18MFF-0052,APPROVED,2,37.7859156878693,-122.417302284685,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0052&ExportPDF=1&Filename=18MFF-0052_schedule.pdf,07/10/2018 12:00:00 AM,2018-07-10,07/15/2019 12:00:00 AM
162,1189473,Roadside Rotisserie Corporation / Country Grill,Truck,1,10624001,POST ST: MONTGOMERY ST to LICK PL (1 - 40),1 POST ST,18MFF-0070,APPROVED,2,37.788778723378,-122.402574568411,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0070&ExportPDF=1&Filename=18MFF-0070_schedule.pdf,07/13/2018 12:00:00 AM,2018-07-13,07/15/2019 12:00:00 AM
163,1181843,Anas Goodies Catering,Truck,1,10336000,PENNSYLVANIA AVE: 22ND ST to 23RD ST (700 - 899),700 PENNSYLVANIA AVE,18MFF-0048,APPROVED,2,37.7569236537341,-122.393549610536,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0048&ExportPDF=1&Filename=18MFF-0048_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
164,1184836,Liang Bai Ping,Truck,1,2709000,BANCROFT AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1460 BANCROFT AVE,18MFF-0058,APPROVED,2,37.7244132432963,-122.390157239611,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0058&ExportPDF=1&Filename=18MFF-0058_schedule.pdf,07/11/2018 12:00:00 AM,2018-07-11,07/15/2019 12:00:00 AM
165,1184058,DO UC US Mobile Catering,Truck,1,8700000,MARIN ST: KANSAS ST to HWY 101 N ON RAMP (2500 - 2599),2590 MARIN ST,18MFF-0054,APPROVED,2,37.7483758257779,-122.403200626496,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0054&ExportPDF=1&Filename=18MFF-0054_schedule.pdf,07/11/2018 12:00:00 AM,2018-07-11,07/15/2019 12:00:00 AM
166,1184820,Liang Bai Ping,Truck,1,8630000,MAIN ST: FOLSOM ST to HARRISON ST (300 - 399),201 FOLSOM ST,18MFF-0058,APPROVED,2,37.7881452832928,-122.391181920263,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0058&ExportPDF=1&Filename=18MFF-0058_schedule.pdf,07/11/2018 12:00:00 AM,2018-07-11,07/15/2019 12:00:00 AM
167,1199778,Two G's Catering,Truck,1,416000,08TH ST: BRYANT ST to BRANNAN ST (500 - 599),599 08TH ST,18MFF-0090,APPROVED,2,37.7718682257671,-122.405657636251,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0090&ExportPDF=1&Filename=18MFF-0090_schedule.pdf,08/06/2018 12:00:00 AM,2018-08-06,07/15/2019 12:00:00 AM
168,1140225,"Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's",Truck,1,9108000,MISSION ST: 10TH ST to 11TH ST (1400 - 1499),1455 MARKET ST,18MFF-0017,REQUESTED,1,37.775228307834,-122.41746613187,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0017&ExportPDF=1&Filename=18MFF-0017_schedule.pdf,,2018-04-06,07/15/2019 12:00:00 AM
169,963978,Singh Brothers Ice Cream,Truck,1,6961000,HOLLISTER AVE: HAWES ST to INGALLS ST (1000 - 1099),1000 HOLLISTER AVE,17MFF-0182,REQUESTED,1,37.7189398190959,-122.390517872066,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0182&ExportPDF=1&Filename=17MFF-0182_schedule.pdf,,2017-04-18,03/15/2018 12:00:00 AM
170,1013324,Wu Wei LLC dba MoBowl,Truck,1,4972000,DRUMM ST: CLAY ST to WASHINGTON ST (200 - 299),253 DRUMM ST,17MFF-0191,APPROVED,2,37.7961233802521,-122.397273204338,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0191&ExportPDF=1&Filename=17MFF-0191_schedule.pdf,05/04/2018 12:00:00 AM,2017-08-31,07/15/2019 12:00:00 AM
171,1181859,Anas Goodies Catering,Truck,1,187201,03RD ST: MARIPOSA ST to 18TH ST (2000 - 2098) -- WEST --,2030 03RD ST,18MFF-0048,APPROVED,2,37.7636598013494,-122.389133857405,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0048&ExportPDF=1&Filename=18MFF-0048_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
172,1133510,Alfaro Truck,Truck,1,13057001,VALENCIA ST: 14TH ST to ROSA PARKS LN (300 - 337),306 VALENCIA ST,18MFF-0015,REQUESTED,1,37.7678552693543,-122.422484404162,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0015&ExportPDF=1&Filename=18MFF-0015_schedule.pdf,,2018-03-30,07/15/2018 12:00:00 AM
173,1181906,Park's Catering,Truck,1,5582000,ARELIOUS WALKER DR: PALOU AVE to QUESADA AVE (1300 - 1399),Assessors Block 4755/Lot049,18MFF-0050,APPROVED,2,37.7263829321822,-122.378434782668,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0050&ExportPDF=1&Filename=18MFF-0050_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
174,1180875,"San Francisco Street Foods, Inc.",Push Cart,2,30049000,DRUMM ST: CALIFORNIA ST intersection,5 THE EMBARCADERO,18MFF-0043,APPROVED,2,37.7943310032468,-122.395811053023,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0043&ExportPDF=1&Filename=18MFF-0043_schedule.pdf,07/03/2018 12:00:00 AM,2018-07-03,07/15/2019 12:00:00 AM
175,1183760,Mini Mobile Food Catering,Truck,1,8485000,LOOMIS ST: FLOWER ST to WATERLOO ST (120 - 255),491 BAY SHORE BLVD,18MFF-0053,APPROVED,2,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0053&ExportPDF=1&Filename=18MFF-0053_schedule.pdf,07/10/2018 12:00:00 AM,2018-07-10,07/15/2019 12:00:00 AM
176,1191890,Mike's Catering,Truck,1,2477000,CESAR CHAVEZ ST: EVANS AVE to KANSAS ST (2100 - 2550),2200 CESAR CHAVEZ ST,18MFF-0084,APPROVED,2,37.7500488259704,-122.399672059709,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0084&ExportPDF=1&Filename=18MFF-0084_schedule.pdf,07/24/2018 12:00:00 AM,2018-07-24,07/15/2019 12:00:00 AM
177,1191896,Mike's Catering,Truck,1,12532003,TERRY A FRANCOIS BLVD: MISSION BAY BLVD to MISSION BAY BLVD (0 - 0),Assessors Block 8722/Lot005,18MFF-0084,APPROVED,2,37.7696400322177,-122.386236654199,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0084&ExportPDF=1&Filename=18MFF-0084_schedule.pdf,07/24/2018 12:00:00 AM,2018-07-24,07/15/2019 12:00:00 AM
178,1181851,Anas Goodies Catering,Truck,1,195201,03RD ST: 26TH ST to CESAR CHAVEZ ST (3000 - 3098) -- WEST --,3000 03RD ST,18MFF-0048,APPROVED,2,37.7504641155225,-122.387908325902,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0048&ExportPDF=1&Filename=18MFF-0048_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
179,1184085,F & C Catering,Truck,1,9056000,MINNESOTA ST: 20TH ST to 22ND ST (800 - 999),900 MINNESOTA ST,18MFF-0055,APPROVED,2,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0055&ExportPDF=1&Filename=18MFF-0055_schedule.pdf,07/11/2018 12:00:00 AM,2018-07-11,07/15/2019 12:00:00 AM
180,963991,Singh Brothers Ice Cream,Truck,1,6671000,HARBOR RD: NORTHRIDGE RD to INGALLS ST (1 - 299),297 HARBOR RD,17MFF-0182,REQUESTED,1,37.7334388116408,-122.380467549518,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0182&ExportPDF=1&Filename=17MFF-0182_schedule.pdf,,2017-04-18,03/15/2018 12:00:00 AM
181,1163789,"SOHOMEI, LLC",Truck,1,131000,02ND ST: JESSIE ST to MISSION ST (69 - 99),85 02ND ST,18MFF-0028,REQUESTED,1,37.7884570288289,-122.399884160566,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0028&ExportPDF=1&Filename=18MFF-0028_schedule.pdf,,2018-05-21,07/15/2019 12:00:00 AM
182,1181874,Quan Catering,Truck,1,2476000,CESAR CHAVEZ ST: CONNECTICUT ST to EVANS AVE (1900 - 2099),2190 CESAR CHAVEZ ST,18MFF-0049,APPROVED,2,37.7502368847791,-122.397818031719,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0049&ExportPDF=1&Filename=18MFF-0049_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
183,1181836,Anas Goodies Catering,Truck,1,196000,03RD ST: CESAR CHAVEZ ST to MARIN ST (3100 - 3199),3150 03RD ST,18MFF-0048,APPROVED,2,37.7494429376004,-122.387985532504,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0048&ExportPDF=1&Filename=18MFF-0048_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
184,1184106,D & T Catering,Truck,1,3183000,BROADWAY: DIVISADERO ST to BRODERICK ST (2700 - 2799),2710 BROADWAY,18MFF-0057,APPROVED,2,37.7936813457741,-122.442002100568,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0057&ExportPDF=1&Filename=18MFF-0057_schedule.pdf,07/11/2018 12:00:00 AM,2018-07-11,07/15/2019 12:00:00 AM
185,975273,Akuranvyka USA Inc,Truck,1,179000,03RD ST: BRANNAN ST to TOWNSEND ST (600 - 699),601 03RD ST,17MFF-0185,ISSUED,4,37.7800771744392,-122.393767294483,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0185&ExportPDF=1&Filename=17MFF-0185_schedule.pdf,03/01/2018 12:00:00 AM,2017-05-10,07/15/2019 12:00:00 AM
186,735315,Ziaurehman Amini,Push Cart,2,4969000,DRUMM ST: MARKET ST to CALIFORNIA ST (1 - 6),1 CALIFORNIA ST,15MFF-0159,REQUESTED,1,37.7932137316634,-122.397043036718,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0159&ExportPDF=1&Filename=15MFF-0159_schedule.pdf,,2015-12-31,03/15/2016 12:00:00 AM
187,1191893,Mike's Catering,Truck,1,3145000,BROADWAY: BATTERY ST to SANSOME ST (200 - 299),250 BROADWAY,18MFF-0084,APPROVED,2,37.7987549364009,-122.401798793854,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0084&ExportPDF=1&Filename=18MFF-0084_schedule.pdf,07/24/2018 12:00:00 AM,2018-07-24,07/15/2019 12:00:00 AM
188,934630,May Catering,Truck,1,5329000,EVANS AVE: HUNTERS POINT BLVD to JENNINGS ST \ MIDDLE POINT RD (1031 - 1099),1059 EVANS AVE,17MFF-0110,EXPIRED,3,37.7365721824187,-122.378209667202,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0110&ExportPDF=1&Filename=17MFF-0110_schedule.pdf,12/28/2017 12:00:00 AM,2017-02-13,07/15/2018 12:00:00 AM
189,1181887,Park's Catering,Truck,1,7253000,INNES AVE: EARL ST to ARELIOUS WALKER DR (700 - 799),Assessors Block 4644/Lot008,18MFF-0050,APPROVED,2,37.7309061503597,-122.373302577485,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0050&ExportPDF=1&Filename=18MFF-0050_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
190,1163798,"SOHOMEI, LLC",Truck,1,7033000,HOWARD ST: 01ST ST to MALDEN ALY (500 - 589),501 HOWARD ST,18MFF-0028,REQUESTED,1,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0028&ExportPDF=1&Filename=18MFF-0028_schedule.pdf,,2018-05-21,07/15/2019 12:00:00 AM
191,1181730,Golden Catering,Truck,1,7428000,JAMESTOWN AVE: GRIFFITH ST to CORONADO ST (800 - 850),835 JAMESTOWN AVE,18MFF-0046,APPROVED,2,37.7171741618036,-122.392222474624,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0046&ExportPDF=1&Filename=18MFF-0046_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
192,1178065,Creme Brulee To Go,Push Cart,2,8747202,MARKET ST: 04TH ST \ ELLIS ST \ STOCKTON ST to POWELL ST (800 - 890) -- NORTH --,870 MARKET ST,18MFF-0036,APPROVED,2,37.7851109204478,-122.407422668277,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0036&ExportPDF=1&Filename=18MFF-0036_schedule.pdf,06/26/2018 12:00:00 AM,2018-06-26,07/15/2019 12:00:00 AM
193,1191888,Mike's Catering,Truck,1,1232000,23RD ST: END to ILLINOIS ST (100 - 699),435 23RD ST,18MFF-0084,APPROVED,2,37.7550307267667,-122.384530734223,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0084&ExportPDF=1&Filename=18MFF-0084_schedule.pdf,07/24/2018 12:00:00 AM,2018-07-24,07/15/2019 12:00:00 AM
194,1009768,Akuranvyka USA Inc,Truck,1,11553000,SANSOME ST: GOLD ST to PACIFIC AVE (705 - 799),727 SANSOME ST,17MFF-0185,ISSUED,4,37.7969490060212,-122.402183431894,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0185&ExportPDF=1&Filename=17MFF-0185_schedule.pdf,03/01/2018 12:00:00 AM,2017-05-10,07/15/2019 12:00:00 AM
195,1189519,Linda's Catering,Truck,1,12662000,TOWNSEND ST: LUSK ST to 04TH ST (252 - 299),290 TOWNSEND ST,18MFF-0074,APPROVED,2,37.7777552165686,-122.394807823179,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0074&ExportPDF=1&Filename=18MFF-0074_schedule.pdf,07/13/2018 12:00:00 AM,2018-07-13,07/15/2019 12:00:00 AM
196,959619,"Kabob Trolley, LLC",Push Cart,2,267001,04TH ST: TOWNSEND ST to KING ST (700 - 799),298 KING ST,17MFF-0177,REQUESTED,1,37.77764220851,-122.393418145932,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0177&ExportPDF=1&Filename=17MFF-0177_schedule.pdf,,2017-04-07,03/15/2018 12:00:00 AM
197,1163794,"SOHOMEI, LLC",Truck,1,9101000,MISSION ST: 07TH ST to ANGELOS ALY \ JULIA ST (1100 - 1165),1118 MISSION ST,18MFF-0028,REQUESTED,1,37.7791572053411,-122.411615430519,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0028&ExportPDF=1&Filename=18MFF-0028_schedule.pdf,,2018-05-21,07/15/2019 12:00:00 AM
198,1184109,D & T Catering,Truck,1,3185000,BROADWAY: BAKER ST to LYON ST (2900 - 2999),2970 BROADWAY,18MFF-0057,APPROVED,2,37.7931766386244,-122.446061864659,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0057&ExportPDF=1&Filename=18MFF-0057_schedule.pdf,07/11/2018 12:00:00 AM,2018-07-11,07/15/2019 12:00:00 AM
199,1140226,"Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's",Truck,1,1428000,25TH ST: ALABAMA ST to HARRISON ST (3042 - 3099),3065 25TH ST,18MFF-0017,REQUESTED,1,37.7509316476402,-122.411419966206,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0017&ExportPDF=1&Filename=18MFF-0017_schedule.pdf,,2018-04-06,07/15/2019 12:00:00 AM
200,1181854,Anas Goodies Catering,Truck,1,1500000,26TH ST: MINNESOTA ST to INDIANA ST (1000 - 1099),1090 26TH ST,18MFF-0048,APPROVED,2,37.7516084135789,-122.390309489501,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0048&ExportPDF=1&Filename=18MFF-0048_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
201,1181850,Anas Goodies Catering,Truck,1,1500000,26TH ST: MINNESOTA ST to INDIANA ST (1000 - 1099),1051 26TH ST,18MFF-0048,APPROVED,2,37.7512694058781,-122.389894366944,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0048&ExportPDF=1&Filename=18MFF-0048_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
202,1174517,CC Acquisition LLC,Push Cart,2,8739201,MARKET ST: MAIN ST to BEALE ST \ DAVIS ST \ PINE ST (214 - 298) -- NORTH --,298 MARKET ST,18MFF-0033,REQUESTED,1,37.7932137316634,-122.397043036718,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0033&ExportPDF=1&Filename=18MFF-0033_schedule.pdf,,2018-06-12,07/15/2019 12:00:00 AM
203,1163800,"SOHOMEI, LLC",Truck,1,1177000,22ND ST: SAN BRUNO AVE to UTAH ST (2400 - 2449),2401 22ND ST,18MFF-0028,REQUESTED,1,37.7556370098323,-122.405101930379,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0028&ExportPDF=1&Filename=18MFF-0028_schedule.pdf,,2018-05-21,07/15/2019 12:00:00 AM
204,1089697,El Tonayense #60,Truck,1,6746000,HARRISON ST: 17TH ST to MARIPOSA ST (2050 - 2149),401 TREAT AVE,18MFF-0004,REQUESTED,1,37.7631083253767,-122.413454890022,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0004&ExportPDF=1&Filename=18MFF-0004_schedule.pdf,,2018-02-05,07/15/2019 12:00:00 AM
205,1202905,"Bay Area Dots, LLC",Push Cart,2,25524000,TAYLOR ST: BAY ST intersection,567 BAY ST,18MFF-0098,APPROVED,2,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0098&ExportPDF=1&Filename=18MFF-0098_schedule.pdf,08/20/2018 12:00:00 AM,2018-08-09,07/15/2019 12:00:00 AM
206,1184849,Liang Bai Ping,Truck,1,5452000,FELL ST: BRODERICK ST to BAKER ST (1300 - 1399),1377 FELL ST,18MFF-0058,APPROVED,2,37.7732879404704,-122.440032316635,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0058&ExportPDF=1&Filename=18MFF-0058_schedule.pdf,07/11/2018 12:00:00 AM,2018-07-11,07/15/2019 12:00:00 AM
207,1184834,Liang Bai Ping,Truck,1,4908000,DONNER AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1450 DONNER AVE,18MFF-0058,APPROVED,2,37.7230565093389,-122.391111940642,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0058&ExportPDF=1&Filename=18MFF-0058_schedule.pdf,07/11/2018 12:00:00 AM,2018-07-11,07/15/2019 12:00:00 AM
208,1189931,JapaCurry,Truck,1,9092000,MISSION ST: 02ND ST to NEW MONTGOMERY ST (600 - 634),602 MISSION ST,18MFF-0076,APPROVED,2,37.787973283216,-122.400185049889,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0076&ExportPDF=1&Filename=18MFF-0076_schedule.pdf,07/16/2018 12:00:00 AM,2018-07-16,07/15/2019 12:00:00 AM
